"","quarter","Unemp","CPI","r"
"1",1960-04-01,5.2,0.577153189270474,2.99333333333333
"2",1960-07-01,5.5,0.03384667488735,2.36
"3",1960-10-01,6.1,0.674538813953163,2.30666666666667
"4",1961-01-01,6.6,0.302064334392149,2.35
"5",1961-04-01,7,-0.100586764558042,2.30333333333333
"6",1961-07-01,7,0.368324541629672,2.30333333333333
"7",1961-10-01,6.5,0.200333956817511,2.46
"8",1962-01-01,5.8,0.199933422148213,2.72333333333333
"9",1962-04-01,5.6,0.564316850264657,2.71666666666667
"10",1962-07-01,5.4,0.0330961446012967,2.84
"11",1962-10-01,5.4,0.528054032303338,2.81333333333333
"12",1963-01-01,5.7,0.197303582585828,2.90666666666667
"13",1963-04-01,5.7,0.131319782496053,2.94
"14",1963-07-01,5.6,0.686613781319911,3.29333333333333
"15",1963-10-01,5.5,0.195312562088201,3.49666666666667
"16",1964-01-01,5.6,0.615985089239324,3.53
"17",1964-04-01,5.3,0.0323153985684943,3.47666666666667
"18",1964-07-01,4.9,0.22591586177878,3.49666666666667
"19",1964-10-01,5.1,0.321854156179802,3.68333333333333
"20",1965-01-01,4.9,0.512821636691951,3.89
"21",1965-04-01,4.8,0.319183162777614,3.87333333333333
"22",1965-07-01,4.4,0.635326152260962,3.86666666666667
"23",1965-10-01,4.2,0.221413976268936,4.16666666666667
"24",1966-01-01,4,0.724070533182886,4.61
"25",1966-04-01,3.8,1.24689894797338,4.58666666666667
"26",1966-07-01,3.8,0.525259974835102,5.04333333333333
"27",1966-10-01,3.7,1.22513017805206,5.21
"28",1967-01-01,3.9,0.152091284070632,4.51333333333333
"29",1967-04-01,3.8,0.606062461169143,3.66
"30",1967-07-01,3.8,0.902261759963707,4.3
"31",1967-10-01,4,0.894193737566162,4.75333333333333
"32",1968-01-01,3.7,1.17995469311549,5.05
"33",1968-04-01,3.5,0.875918008988164,5.52
"34",1968-07-01,3.7,1.44302648290289,5.19666666666667
"35",1968-10-01,3.4,1.13961347308695,5.58666666666667
"36",1969-01-01,3.4,1.12677248463422,6.09333333333333
"37",1969-04-01,3.4,1.66670524852117,6.19666666666667
"38",1969-07-01,3.5,1.36801039040804,7.02333333333333
"39",1969-10-01,3.7,1.34954814748842,7.35333333333333
"40",1970-01-01,3.9,1.59577854386113,7.21
"41",1970-04-01,4.6,1.57071292053579,6.67666666666667
"42",1970-07-01,5,1.03360093306617,6.32666666666667
"43",1970-10-01,5.5,1.27715656794876,5.35333333333333
"44",1971-01-01,5.9,1.26105075919298,3.84
"45",1971-04-01,5.9,0.500001041670561,4.25
"46",1971-07-01,6,1.23917322951637,5.01
"47",1971-10-01,5.8,0.736199644106872,4.23
"48",1972-01-01,5.8,0.730819330672494,3.43666666666667
"49",1972-04-01,5.7,0.725517088117167,3.77
